Cheese Name,Milk Type,Texture,Rind,Color,Flavor,Aroma,,,,,,,,,,
/parmesan/,Made from unpasteurized cow's milk,Italy,"Provinces of Parma, Reggio Emilia, Modena, Bologna , Mantua",Parmesan,"hard, artisan",25.83 g/100g,1184 mg/100g,"crystalline, dense and grainy",natural,straw,"fruity, nutty, savory, sharp",strong,no,Various,"Parmigiano Reggiano, Parmesan Regiano, Parmesan Reggiano, Parmesan Parmigiano",
/mascarpone/,Made from pasteurized cow's milk,Italy,Lombardy,fresh soft,60-75%,"buttery, creamy, smooth and spreadable",rindless,white,"buttery, creamy, mild, milky",fresh,yes,,,,,
/mozzarella/,"Made from pasteurized or unpasteurized cow's, goat's, sheep's or water buffalo's milk",Italy,"Campania, Abruzzo, Molise and Puglia","semi-soft, brined",45%,403 mg/100g,"springy, stringy and supple",rindless,white,milky,"fresh, milky",mozerrela,,,,
/asiago/,Made from cow's milk,Italy,"Veneto, Trentino",hard,34-48%,"compact, crumbly, open and smooth",natural,yellow,"full-flavored, milky, sharp",pungent,no,,,,,
/feta/,Made from goat's and sheep's milk,Greece,"Macedonia, Thrace, Thessaly, Central Mainland Greece, the Peloponnese, Lesvos and Island of Kefaloni",Feta,"soft, brined",16%,21 g/100g,493 mg/100g,"creamy, crumbly and open",white,"full-flavored, salty, tangy","nutty, strong",no,CHRISTAKIS Greek Cheeses,,
/le-gruyere-aop/,Made from unpasteurized cow's milk,Switzerland,hard,49-53%,compact,sweet,earthy,no,"Gruyere, Gruyère",,,,,,,
/gorgonzola/,Made from pasteurized cow's milk,Italy,Gorgonzola,"soft, blue-veined",25-35%,crumbly and firm,yellow,"mild, sharp",nutty,,,,,,,
/monterey-jack/,Made from pasteurized cow's milk,Mexico and United States,"Monterey, California",Monterey Jack,semi-hard,"compact, creamy, firm, open and supple",pale yellow,"buttery, mild",aromatic,Fresh Jack,,,,,,
/stilton/,Made from pasteurized cow's milk,England,"Derbyshire, Leicestershire, Nottinghamshire",Blue,"semi-soft, blue-veined",35%,"creamy, crumbly and smooth",natural,blue,"spicy, strong",no,"Stilton Colston Bassett, Cropwell Bishop Blue Stilton",,,,
/abbaye-de-belloc/,Made from unpasteurized sheep's milk,France,Pays Basque,"semi-hard, artisan","creamy, dense and firm",natural,yellow,burnt caramel,lanoline,yes,Abbaye Notre-Dame de Belloc,,,,,
/taleggio/,Made from pasteurized or unpasteurized cow's milk,Italy,"Bergamo, Brescia, Como, Cremona, Lecco, Lodi, Milan, Pavia, Treviso, Novara","semi-soft, smear-ripened",48%,creamy,washed,pale yellow,"fruity, mild, tangy","pungent, strong",no,Taleggio dop di Peghera,,,,
/grana-padano/,Made from unpasteurized cow's milk,Italy,Po River Valley,Parmesan,39-41%,crumbly and grainy,natural,pale yellow,fruity,no,"Grana Padano oltre 16 mesi, Grana Padano Riserva",,,,,
/swiss/,Made from pasteurized cow's milk,United States,Swiss Cheese,"hard, artisan, processed",7.8 g/100g,firm,rindless,pale yellow,"nutty, sweet",yes,Various,American Swiss Cheese,,,,
/boursin/,Made from pasteurized cow's milk,France,Croisy-sur-Eure,"soft, processed",60%,"creamy, crumbly and spreadable",rindless,white,"buttery, full-flavored, herbaceous, smooth","fresh, strong",yes,Boursin Bel UK Ltd,Gournay cheese,,,
/cotija/,Made from unpasteurized cow's milk,Mexico,Michoacán and Jalisco,Parmesan,"fresh firm, artisan",crumbly and dense,rindless,white,"salty, strong",no,Queso Cincho,,,,,
/fontina-val-daosta/,Made from unpasteurized cow's milk,Italy,Aosta Valley,"semi-soft, artisan",45%,"creamy, dense, firm, open, smooth and supple",washed,pale yellow,"mild, nutty, strong, sweet, tangy","aromatic, rich",no,"Fontinella, Fontal, Fontina Val D’Aosta DOP","Fontina DOP, Fontina PDO",,,
/roquefort/,Made from unpasteurized sheep's milk,France,region surrounding Roquefort-sur-Soulzon,Blue,"semi-soft, artisan, blue-veined",creamy and crumbly,natural,blue,"salty, sharp, tangy",no,Roquefort AOP,,,,,
/blue-vein-cheese/,"Made from pasteurized or unpasteurized cow's, goat's or sheep's milk",Blue,"semi-soft, blue-veined",creamy,blue,"salty, sharp, tangy","stinky, strong",no,"Blue cheese , Bleu cheese , Erborinato",,,,,,,
/emmental/,Made from cow's milk,Switzerland,hard,no,"Emmentaler, Emmenthaler, Emmenthal",,,,,,,,,,,
/grana/,Made from unpasteurized cow's milk,Italy,Parmesan,"hard, artisan",flaky and grainy,natural,yellow,"fruity, nutty, sharp",strong,no,,,,,,
/jarlsberg/,Made from pasteurized cow's milk,Norway,Jarlsberg,Swiss Cheese,semi-soft,"open, smooth and supple",waxed,pale yellow,"buttery, mild, nutty",nutty,no,,,,,
/mozzarella-di-bufala/,Made from pasteurized water buffalo's milk,Italy,"Campania, Paestum, Foggia",Pasta filata,"soft, brined",21%,"creamy, smooth and springy",white,"floral, mild, milky, sour",fresh,no,Casa Madaio,"Buffalo mozzarella, Mozzarella di Bufala Campana",,,
/pepper-jack/,Made from pasteurized cow's milk,United States,"Monterey, California",Monterey Jack,semi-soft,creamy and smooth,natural,cream,"herbaceous, sharp, spicy","aromatic, herbal",yes,,,,,
/munster/,Made from unpasteurized cow's milk,France,"Vosges, Haut-Rhin, Bas-Rhin","soft, smear-ripened",45-50%,"creamy, smooth and sticky",washed,white,"savory, tangy","stinky, strong",no,"Munster-géromé, Munster gerome, Munster fermente",,,,
/bocconcini/,Made from pasteurized cow's and water buffalo's milk,Italy,Campania,Mozzarella,"semi-soft, brined",6 g/100g,creamy,rindless,white,"buttery, mild, sweet",no,La Casa Del Formaggio,"bocconcino di bufala campana, bocconcini alla panna di bufala",,,
/fromage-frais/,"Made from Skimmed cow's, goat's or sheep's milk",Belgium and France,fresh soft,"creamy, crumbly, smooth and spreadable",rindless,white,"acidic, milky, salty, smooth, tangy","fresh, mild, milky",Maquee,,,,,,,
/ricotta-salata/,Made from sheep's milk,Italy,Sicily,"hard, whey",crumbly and dry,white,salty,no,,,,,,,,
/cream-havarti/,Made from pasteurized cow's milk,Denmark,Havarti,"semi-soft, processed",45%,smooth,rindless,pale yellow,"buttery, creamy, sweet",sweet,"Havarathi, Flødeis Havarti, Smoked Havarti",Flodeis Havarti,,,,
/scamorza/,Made from pasteurized cow's milk,Italy,"Apulia, Campania and Molise",Pasta filata,semi-soft,"chewy, firm and stringy",natural,white,"milky, smokey","fresh, milky, smokey",no,Smoked Scamorza,Scamorza Affumicata,,,
/fromage-a-raclette/,Made from unpasteurized cow's milk,France and Switzerland,Valais,Swiss Cheese,"semi-hard, artisan",50%,"creamy, firm, open and smooth",natural,pale yellow,"acidic, milky, nutty, sweet","aromatic, fruity, pleasant",no,Valais Raclette,,,
/chevre/,Made from pasteurized or unpasteurized goat's milk,France,"soft, semi-soft, hard, firm",firm and soft,white,"earthy, tangy, tart",Goat cheese,,,,,,,,,
/pecorino/,Made from sheep's milk,Italy,Pecorino,hard,"creamy, crumbly, firm and open",pale yellow,"buttery, mild, nutty",no,,,,,,,,
/burrata/,Made from pasteurized or unpasteurized water buffalo's milk,Italy and United States,Apulia,Mozzarella,"fresh soft, artisan",creamy and stringy,leaf wrapped,white,"buttery, milky","fresh, milky",no,,,,,
/halloumi/,"Made from cow's, goat's and sheep's milk",Cyprus,"semi-soft, artisan, brined","chewy, creamy and springy",rindless,white,"salty, savory",strong,"Traditional Halloumi, Traditional Haloumi","Haloumi-Style Cheese, Hallomi, Haloumi",,,,,,
/aged-gouda/,"Made from pasteurized or unpasteurized cow's, goat's or sheep's milk",Netherlands,"South Holland, Gouda",Gouda,"hard, artisan, brined, processed",76%,31 g/100g,958 mg/100g,"brittle, crumbly, crystalline and flaky",waxed,yellow,"burnt caramel, full-flavored","rich, ripe",no,"Five-Year Aged Gouda, Jong belegen Gouda, Belegen Gouda, Extra belegen Gouda, Oud Gouda, Overjarig Gouda, Gouda, Aged Four Years",
/fresh-mozzarella/,Made from pasteurized or unpasteurized cow's or water buffalo's milk,Italy,Campania,Mozzarella,"fresh soft, artisan, brined",22 g/100g,500 mg/100g,creamy and smooth,rindless,white,"acidic, mild, milky",fresh,no,Mozzarella fresco,,
/colby/,Made from cow's milk,United States,"Colby, Wisconsin",Cheddar,semi-hard,"firm, open and springy",rindless,yellow,sweet,"mild, sweet",no,Colby Swiss Cheddar,,,,
/limburger/,Made from pasteurized cow's milk,"Belgium, Germany and Netherlands",Duchy of Limburg,"semi-soft, smear-ripened",42%,27 g/100g,497 mg/100g,"crumbly, firm and smooth",washed,straw,"grassy, mild, mushroomy",stinky,no,Limburger Kase,,
/paneer/,Made from pasteurized cow's or water buffalo's milk,Bangladesh and India,Cottage,fresh firm,20.8 g/100g,208 mg/100g,crumbly and firm,rindless,white,milky,"fresh, milky",yes,"Chhena, Chhana",,,
/queso-blanco/,Made from pasteurized cow's and goat's milk,Mexico,Cottage,fresh soft,"crumbly, firm and smooth",rindless,white,"mild, milky","aromatic, fresh",yes,"Cacique Inc., Karoun Dairies Inc.",Queso Fresco,,,,
/port-salut/,Made from pasteurized cow's milk,France,Brittany,semi-soft,72.70%,creamy and smooth,washed,pale yellow,"acidic, mellow",no,"Port du Salut, Port Salut",,,,,
/adelost/,Made from pasteurized cow's milk,Sweden,Blue,"semi-soft, blue-veined",50%,creamy,natural,blue,"salty, sharp, tangy",strong,,,,,,
/abondance/,Made from unpasteurized cow's milk,France,"Haute-Savoie, Abondance",Tomme,"semi-hard, artisan",48%,"creamy, open and supple",natural,pale yellow,"acidic, buttery, fruity, sweet",nutty,no,Tomme d'Abondance,,,
/butterkase/,Made from pasteurized cow's milk,Austria and Germany,semi-soft,50%,"creamy, smooth and spreadable",natural,pale yellow,"buttery, mild",no,"butter cheese, Butterkäse",,,,,,
/brillat-savarin/,Made from pasteurized cow's milk,France,Ile de France,"soft, artisan",75%,creamy and dense,mold ripened,white,"buttery, nutty, sour",milky,no,,,,,
/comte/,Made from unpasteurized cow's milk,France,Jura Massif,"semi-hard, artisan",45%,"dense, firm, grainy, open, smooth and supple",natural,pale yellow,"fruity, nutty, salty, savory, smokey , sweet",nutty,no,"Anthony Rowcliffe & Son Ltd, Entremont, FROMAGERIES ARNAUD, President Cheese","Comté, Comte Fort Saint Antoine, Comté extra",,,
/camembert-de-normandie/,Made from pasteurized or unpasteurized cow's milk,France,Normandy,Camembert,"soft, soft-ripened",45%,"creamy, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy, smooth",fruity,yes,"Camembert Le Châtelain, Camembert de Normandie AOC, Camembert de Normandie PDO",,,
/reblochon/,Made from unpasteurized cow's milk,France,Savoie,"semi-soft, artisan",smooth,washed,"creamy, nutty",no,Reblochon,,,,,,,
/longhorn/,Made from pasteurized cow's milk,United States,"Colby, Wisconsin",Cheddar,semi-hard,"firm, open and springy",rindless,orange,"mild, sweet",no,Williams Cheese Company,"Colby Longhorn, Longhorn Cheddar, Colby Jack Longhorn, Pepper Jack Longhorn, Low Sodium Colby Longhorn",,,,
/oaxaca/,Made from pasteurized cow's milk,Mexico,Oaxaca,Pasta filata,"semi-soft, artisan",smooth and stringy,white,"buttery, mild, salty","buttery, earthy",no,Cesar's Cheese,"Quesillo, Asadero, Queso Quesadilla, Oaxacan Style String Cheese","Queso Oaxaca, Oaxacan String Cheese",,,
/abbaye-du-mont-des-cats/,Made from pasteurized cow's milk,France,Nord-Pas-de-Calais,"semi-soft, artisan, brined",50%,smooth and supple,washed,pale yellow,"milky, salty",floral,no,Abbaye du Mont des Cats,,,,
/saint-agur/,Made from pasteurized cow's milk,France,Auvergne,Blue,"soft, blue-veined",60%,"creamy, smooth and spreadable",blue,"fruity, mellow, sharp",strong,no,Savencia Fromage & Dairy,"Saint Agur Coupe, Saint Agur Crème",,,
/cottage-cheese/,Made from pasteurized or unpasteurized cow's milk,United Kingdom and United States,Cottage,"soft, artisan, processed",4%,4.30 g/100g,68 mg/100g,creamy and crumbly,rindless,white,sweet,,,,,
/panela/,Made from pasteurized or Skimmed cow's milk,Mexico,Cottage,"fresh firm, artisan",creamy and crumbly,white,"creamy, mild","fresh, milky",Cacique Inc.,,,,,,,
/acapella/,Made from goat's milk,United States,California,"soft, soft-ripened",buttery,"fresh, herbal",no,,,,,,,,,
/fresh-truffles/,"Made from cow's, goat's or sheep's milk","semi-soft, artisan","full-flavored, nutty",aromatic,,,,,,,,,,,,
/romano/,"Made from pasteurized or unpasteurized cow's, goat's and sheep's milk",Italy,Parmesan,hard,"brittle, crumbly, dense and flaky",natural,pale yellow,"mild, sharp, tangy",strong,yes,,,,,,
/wensleydale/,Made from pasteurized cow's and sheep's milk,United Kingdom,"Hawes, North Yorkshire","semi-hard, artisan",48%,creamy and crumbly,cloth wrapped,pale yellow,mild,fruity,Wensleydale Creamery,"Yorkshire Wensleydale, Blended Wensleydale, Hawes Wensleydale",,,,
/double-gloucester/,Made from pasteurized or unpasteurized cow's milk,England and United Kingdom,Gloucestershire,"hard, artisan",54.23 g/100g,"crumbly, dense, firm, flaky and smooth",natural,golden yellow,"creamy, mellow, milky, nutty",sweet,yes,Taw Valley Creamery,Taw Valley Double Gloucester,,,
/red-leicester/,Made from unpasteurized cow's milk,United Kingdom,Leicestershire,Cheddar,"hard, artisan",48%,crumbly and dense,cloth wrapped,orange,"burnt caramel, full-flavored, sweet",rich,no,Leicestershire Handmade Cheese Company,"Leicester, Leicestershire",,
/abbaye-de-citeaux/,Made from unpasteurized cow's milk,France,Burgundy,"semi-soft, artisan, brined","creamy, dense and smooth",washed,white,"acidic, milky, smooth","barnyardy, earthy",no,,,,,,
/colby-jack/,Made from pasteurized cow's milk,United States,Monterey Jack,"semi-soft, processed",smooth,rindless,"creamy, mild, smooth, sweet, tangy",no,"Cojack, Marble jack, Co-jack, Colby Jack",,,,,,,
/caciocavallo/,Made from pasteurized cow's or sheep's milk,Italy,"Basilicata, Southern Italy",Pasta filata,soft,springy and stringy,natural,yellow,"salty, sharp, spicy, tangy","earthy, strong",no,,,,,
/crottin-de-chavignol/,Made from unpasteurized goat's milk,France,"Loire, Chavignol","hard, soft-ripened",45%,0.7 mg/100g,crumbly and smooth,natural,white,full-flavored,strong,no,Crottin Du Chavignol,,,
/cream-cheese/,Made from pasteurized or unpasteurized cow's milk,United States,"fresh soft, processed",creamy and spreadable,rindless,white,"creamy, mild, sweet","fresh, pleasant",yes,fruit cream,Fruit cream cheese,,,,,
/zanetti-parmigiano-reggiano/,Made from unpasteurized cow's milk,Italy,"Parma, Reggio Emilia, Modena and Bologna (all in Emilia-Romagna), and Mantova (in Lombardia)",Parmesan,"hard, artisan",25.83 g/100g,1184 mg/100g,grainy,natural,straw,"nutty, savory",Zanetti Parmeson,,,,
/juustoleipa/,"Made from pasteurized cow's, goat's or reindeer's milk",Finland,"semi-hard, artisan",12%,chewy and firm,washed,white,"salty, sweet","fresh, pleasant, sweet",no,"Leipäjuusto, Finnish squeaky cheese, reindeer cheese, juusto",,,,,
/baby-swiss/,Made from pasteurized or unpasteurized cow's milk,United States,"Charm, Ohio",Swiss Cheese,"semi-soft, processed",43%,"creamy, open and smooth",rindless,pale yellow,"nutty, sharp, sweet",no,Guggisberg Cheese,Lacy cheese,,,
/le-roule/,Made from pasteurized cow's milk,France,Rians,"fresh soft, artisan","creamy, smooth and spreadable",natural,white,"spicy, sweet, tangy",rich,no,Rians,,,,,
/brie-de-meaux/,Made from unpasteurized cow's milk,France,Ile de France,Brie,"soft, artisan, soft-ripened",creamy and smooth,bloomy,straw,"creamy, sweet","nutty, sweet",no,,,,,
/berkswell/,Made from unpasteurized sheep's milk,United Kingdom,West Midlands,Parmesan,"hard, smear-ripened",48%,"chewy, dense and firm",natural,pale yellow,acidic,goaty,yes,"Berkswell Cheese Company , Ram Hall Farm",,,
/fresh-ricotta/,"Made from cow's, goat's, sheep's or water buffalo's milk",Italy,Cottage,"fresh firm, whey",10.1 g/100g,"creamy, fluffy and grainy",rindless,white,mild,fresh,no,"ricotta salata moliterna, ricotta piemontese, ricotta romana",,,,
/maasdam/,Made from pasteurized cow's milk,Netherlands,All Holland,Gouda,semi-hard,45%,"creamy, open and supple",pale yellow,"buttery, nutty, sweet",fruity,no,Maasdammer,,,,
/canadian-cheddar/,"Made from pasteurized or unpasteurized cow's, goat's or sheep's milk",Canada,Ontario,Cheddar,"hard, artisan, processed",crumbly and open,natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong",no,Balderson Cheese Company,,,,
/fourme-ambert-aoc/,Made from unpasteurized cow's milk,France,"Auvergne, Rhône-Alpes",Blue,"semi-hard, artisan, blue-veined","creamy, dense and supple",natural,blue,"savory, sharp, tangy","strong, woody",no,"Fourme d'Ambert, Ambert",,,,
/tommes/,"Made from pasteurized or unpasteurized cow's, goat's or sheep's milk",France and Switzerland,Tomme,semi-soft,firm,natural,pale yellow,buttery,milky,,,,,,,
/cantal/,Made from pasteurized or unpasteurized cow's milk,France,"Cantal, Auvergne","semi-hard, artisan",45%,firm,natural,pale yellow,no,"Cantal jeune, Cantal fremier, Cantalet, Fourme de Cantal, Cantal entre-deux, Cantal vieux, Cantal laitier",Cantal AOC,,,,,
/menonita/,Made from pasteurized or unpasteurized cow's milk,Mexico,Northern Mexico,Cheddar,semi-soft,51-55%,firm and supple,natural,pale yellow,"buttery, mild, sharp",Los Altos Food Products LLC,"Queso Chihuahua , Chihuahua cheese","Queso menonita , Campresino Menonita",,,
/crescenza/,Made from cow's milk,Italy,"Lombardy, Piedmont, and Veneto",Italian Cheese,fresh soft,51%,"buttery, creamy and spreadable",rindless,white,"creamy, mild, sweet","pleasant, rich",Stracchino,,,,
/queso-iberico/,"Made from pasteurized or unpasteurized cow's, goat's and sheep's milk",Spain,hard,45%,firm and oily,natural,white,"buttery, nutty, strong","aromatic, rich",no,,,,,,
/crema-mexicana/,Made from pasteurized cow's milk,Mexico and Caribbean,soft,"creamy, smooth and spreadable",rindless,white,"buttery, sour, tangy",rich,yes,Cacique Inc.,,,,,,
/sage-derby/,Made from cow's milk,England and United Kingdom,East Midlands,"semi-hard, artisan",45%,firm,green,"herbaceous, mild",herbal,yes,,,,,,
/geitost/,Made from pasteurized cow's and goat's milk,Norway,"semi-hard, whey",firm,natural,brown,"burnt caramel, sweet",caramel,"Gjetost, Mysost, Fløtemysost",,,,,,,
/brick/,Made from pasteurized cow's milk,United States,Wisconsin,"semi-hard, smear-ripened",open and smooth,washed,ivory,"mild, nutty, sweet, tangy","pungent, rich",no,,,,,,
/kasseri/,Made from unpasteurized goat's and sheep's milk,Greece,Pasta filata,semi-hard,25-45%,"chewy, firm and springy",rindless,pale yellow,"salty, sweet",pungent,no,"Kaser, Kasar, Kaşar",,,,
/bel-paese/,Made from pasteurized cow's milk,Italy,Lombardy,semi-soft,creamy and smooth,plastic,pale yellow,"buttery, mild, milky, sweet",pleasant,no,Galbani,,,,,
/affidelice-au-chablis/,Made from pasteurized cow's milk,France,Burgundy,soft,55%,26 mg/100g,creamy and smooth,washed,orange,"fruity, mild, tangy","perfumed, strong",no,Fromagerie Berthaut,,,
/pave-daffinois/,Made from pasteurized cow's milk,France,"fresh soft, soft-ripened",60%,creamy and smooth,bloomy,ivory,"grassy, mild, milky, sweet","fresh, milky, pleasant",yes,Fromagerie GUILLOTEAU,Fromager D'Affinois,Pave Affinois,,,
/muenster/,Made from pasteurized cow's milk,United States,"soft, processed",smooth,pale yellow,mild,"pungent, strong",American Muenster,,,,,,,,
/danablu-danish-blue/,Made from cow's milk,Denmark,Blue,"semi-soft, blue-veined",25-30%,creamy and crumbly,white,"salty, sharp",no,Rosenborg,,,,,,
/acorn/,Made from unpasteurized sheep's milk,United Kingdom,Bethania,"hard, artisan",52%,crumbly and firm,"burnt caramel, citrusy, herbaceous",fruity,yes,,,,,,,
/afuegal-pitu/,Made from unpasteurized cow's milk,Spain,Asturias,"soft, artisan",smooth,cloth wrapped,"spicy, strong",no,,,,,,,,
/abbots-gold/,Made from pasteurized cow's milk,"England, Great Britain and United Kingdom",North Yorkshire,Cheddar,semi-hard,"creamy, crumbly, dense and semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,yes,Wensleydale Creamery,"Abbot's Gold Cheddar with Caramelised Onion, Caramelised Onion Cheddar, English Cheddar with Caramelized Onions",,,
/la-vache-qui-rit/,Made from pasteurized cow's milk,France,Swiss Cheese,"semi-soft, processed","creamy, smooth and spreadable",rindless,pale yellow,"buttery, mild, spicy, tangy",fresh,BEL Group,Laughing Cow Cheese,,,,,
/caerphilly/,Made from unpasteurized cow's milk,United Kingdom and Wales,"Wales, London",Cheddar,hard,48%,crumbly and dense,natural,white,"citrusy, mild, tangy",fresh,"Duckett's Caerphilly, Duckett's Aged Caerphilly",,,,
/tomme-de-chevre/,Made from unpasteurized goat's milk,France,"Haute-Savoie, Abondance, Maurienne and Tarentaise",Tomme,"semi-soft, artisan",45%,creamy,bloomy,pale yellow,fruity,"goaty, strong",no,Tomme de Chevre de Savoie,,,
/bath-soft/,Made from pasteurized cow's milk,England and United Kingdom,South West England,Brie,soft,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",The Bath Soft Cheese Co.,Bath Soft,,,,
/epoisses-de-bourgogne/,Made from whole cow's milk,France,"Côte-d'Or, Époisses","soft, smear-ripened","chewy, creamy and firm",washed,"salty, spicy, sweet",pungent,Fromagerie Lincet,EPOISSES (PDO),,,,,,
/cheshire/,Made from pasteurized cow's milk,England and United Kingdom,"Cheshire, Denbighshire, Flintshire, Shropshire and Staffordshire",hard,48%,crumbly and dense,cloth wrapped,orange,"full-flavored, mild, milky, tangy",aromatic,yes,Appleby's,Farmhouse Cheshire,"Red Cheshire, Blue Cheshire",,
/neufchatel/,Made from pasteurized cow's milk,France,"Haute-Normandie, Neufchâtel-en-Bray",Camembert,"semi-soft, artisan",45%,"close, firm, grainy, spreadable and supple",bloomy,white,"salty, sharp",yeasty,no,Coeur de Neufchatel,,,
/blue-castello/,Made from cow's milk,Denmark,Blue,soft,creamy and smooth,washed,blue,buttery,spicy,,,,,,,
/basket-cheese/,Made from pasteurized cow's milk,Middle East,Cottage,"soft, semi-soft",chewy and supple,rindless,white,"mild, salty",milky,yes,"Specialty Cheese Company, Inc",,,,,
/saint-nectaire/,Made from pasteurized or unpasteurized cow's milk,France,Auvergne,Tomme,"semi-soft, artisan",45%,"creamy, smooth and supple",washed,ivory,"grassy, mushroomy, nutty","earthy, grassy, pungent",no,St. Nectaire,,,
/cabrales/,"Made from unpasteurized cow's, goat's and sheep's milk",Spain,Asturias,Blue,"semi-hard, artisan, blue-veined",45%,creamy and firm,mold ripened,blue,"acidic, salty, sharp",strong,no,Cabrales DOP,"Quesu Cabrales, Queso de Cabrales, Cabraliego",,
/stinking-bishop/,Made from pasteurized cow's milk,United Kingdom,Gloucestershire,"semi-soft, artisan",48%,creamy and smooth,washed,cream,"full-flavored, strong","pungent, stinky",yes,Charles Martell & Son Limited,,,,
/cotswold/,Made from pasteurized cow's milk,"England, Great Britain and United Kingdom",Gloucestershire County,semi-hard,"crumbly, dense and firm",natural,yellow,"buttery, full-flavored, savory, sweet, tangy",no,"Double Gloucester with Chives, Double Gloucester with Onion and Chives, English Cotswold",,,,,,
/sainte-maure-de-touraine-aoc/,Made from unpasteurized goat's milk,France,Loire,"semi-soft, artisan","creamy, fluffy and soft",white,no,"Saint ​​Maure, Sainte ​​Maure, Sainte-Maure de Touraine",,,,,,,,
/applewood/,Made from pasteurized cow's milk,"England, Great Britain and United Kingdom",Somerset,Cheddar,semi-hard,crumbly and dense,natural,yellow,"smokey , spicy",smokey,yes,Ilchester Cheese Company,Applewood smoked cheddar,,,
/fiore-sardo/,Made from unpasteurized sheep's milk,Italy,Sardinia,Pecorino,"semi-hard, artisan",grainy,natural,straw,"burnt caramel, smokey","rich, strong",no,"Pecorino Sardo, Fiore Sardo DOP",,,,
/dolcelatte/,Made from cow's milk,Italy,Blue,"soft, blue-veined",50%,"mild, sweet",no,Galbani,,,,,,,,
/pont-leveque/,Made from pasteurized or unpasteurized cow's milk,France,Basse-Normandie,soft,45%,creamy,washed,pale yellow,full-flavored,no,Pont L Eveque,Moyaux cheese,,,,
/cahills-irish-porter-cheddar/,Made from pasteurized cow's milk,Ireland,Limerick,Cheddar,"semi-hard, artisan",creamy and firm,waxed,brownish yellow,"full-flavored, tangy",rich,yes,Cahill's Farm Cheese,Cahill's Plain Porter Cheese,,,
/zanetti-grana-padano/,Made from unpasteurized cow's milk,Italy,"Emilia-Romagna, Lombardy, provinces of Bergamo, Brescia, Cremona, Lodi, Mantua, Milan and Pavia",Parmesan,"hard, artisan","creamy, crumbly and grainy",natural,straw,full-flavored,"nutty, sweet","Grana Padano oltre 16 mesi, Grana Padano Riserva",,,,,
/langres/,Made from pasteurized cow's milk,France,Champagne-Ardenne,semi-soft,crumbly and firm,washed,orange,"mild, salty",strong,no,,,,,,
/seriously-strong-cheddar/,Made from pasteurized cow's milk,"England, Scotland and United Kingdom",Stranraer,Cheddar,hard,34.40%,740 mg/100g,"crumbly, dense, firm and flaky",natural,yellow,"full-flavored, savory, smokey , spicy, tangy","rich, smokey, strong",no,Lactalis McLelland Ltd,"Seriously Strong Spreadable, Seriously Strong Vintage Cheddar, Seriously Strong Grated Cheddar",
/il-boschetto-al-tartufo/,Made from pasteurized cow's and sheep's milk,Italy,Tuscany,"semi-soft, artisan",creamy,edible,white,"mild, sweet","earthy, mushroom, pungent",Cooperativa Agricola IL FORTETO,Boschetto,Boschetto al Tartufo Bianchetto,,,,
